address,price,beds,baths,area,statusText,latitude,longitude,url
"16425 S 34th St, Phoenix, AZ 85048","$835,000",4,3.5,3157,House for sale,33.29703,-112.01036,https://www.zillow.comhttps://www.zillow.com/homedetails/16425-S-34th-St-Phoenix-AZ-85048/50199042_zpid/
"14830 N 28th Pl, Phoenix, AZ 85032","$700,000",4,2,2204,House for sale,33.621555,-112.020485,https://www.zillow.comhttps://www.zillow.com/homedetails/14830-N-28th-Pl-Phoenix-AZ-85032/8011532_zpid/
"3011 W Salter Dr, Phoenix, AZ 85027","$409,900",3,2,1324,House for sale,33.681976,-112.1234,https://www.zillow.comhttps://www.zillow.com/homedetails/3011-W-Salter-Dr-Phoenix-AZ-85027/7940043_zpid/
"12220 N 22nd Pl, Phoenix, AZ 85022","$399,000",3,2,1406,House for sale,33.597607,-112.03367,https://www.zillow.comhttps://www.zillow.com/homedetails/12220-N-22nd-Pl-Phoenix-AZ-85022/7819956_zpid/
"3823 E Poinsettia Dr, Phoenix, AZ 85028","$624,999",4,2,2104,House for sale,33.594856,-111.99904,https://www.zillow.comhttps://www.zillow.com/homedetails/3823-E-Poinsettia-Dr-Phoenix-AZ-85028/7818161_zpid/
"23428 N 64th Ave, Glendale, AZ 85310","$5,475,000",7,11,9633,House for sale,33.698895,-112.198135,https://www.zillow.comhttps://www.zillow.com/homedetails/23428-N-64th-Ave-Glendale-AZ-85310/449383713_zpid/
"5023 N 39th Dr, Phoenix, AZ 85019","$325,000",3,2,1578,House for sale,33.510616,-112.1435,https://www.zillow.comhttps://www.zillow.com/homedetails/5023-N-39th-Dr-Phoenix-AZ-85019/7721328_zpid/
"15 E Briles Rd, Phoenix, AZ 85085","$900,000",5,4,3503,House for sale,33.72343,-112.0739,https://www.zillow.comhttps://www.zillow.com/homedetails/15-E-Briles-Rd-Phoenix-AZ-85085/7973003_zpid/
"2127 W Marco Polo Rd, Phoenix, AZ 85027","$365,000",3,2,1110,House for sale,33.666203,-112.10537,https://www.zillow.comhttps://www.zillow.com/homedetails/2127-W-Marco-Polo-Rd-Phoenix-AZ-85027/7970521_zpid/
"4428 E Yawepe St, Phoenix, AZ 85044","$598,500",4,2,2079,House for sale,33.34278,-111.98693,https://www.zillow.comhttps://www.zillow.com/homedetails/4428-E-Yawepe-St-Phoenix-AZ-85044/8258527_zpid/
